size,stride,ns
4096,4,0.555027
4096,8,0.483969
4096,16,0.489970
4096,32,0.473154
4096,64,0.411521
4096,128,0.478600
4096,256,0.469391
4096,512,0.396374
4096,1024,0.458165
4096,2048,0.786059
8192,4,0.469919
8192,8,0.497591
8192,16,0.473231
8192,32,0.503706
8192,64,0.407616
8192,128,0.404698
8192,256,0.417699
8192,512,0.397541
8192,1024,0.402584
8192,2048,0.461423
8192,4096,0.788417
16384,4,0.533700
16384,8,0.501389
16384,16,0.506450
16384,32,0.564917
16384,64,0.505196
16384,128,0.456168
16384,256,0.515927
16384,512,0.455832
16384,1024,0.467770
16384,2048,0.407662
16384,4096,0.498793
16384,8192,0.796700
32768,4,0.506197
32768,8,0.585595
32768,16,0.582070
32768,32,0.539096
32768,64,0.533043
32768,128,0.490494
32768,256,0.465812
32768,512,0.484023
32768,1024,0.447684
32768,2048,0.567904
32768,4096,0.772763
32768,8192,0.583996
32768,16384,0.849862
65536,4,0.473974
65536,8,0.535922
65536,16,0.474720
65536,32,0.797365
65536,64,2.007790
65536,128,2.078770
65536,256,1.819906
65536,512,1.745796
65536,1024,3.241478
65536,2048,2.717353
65536,4096,3.901896
65536,8192,0.825550
65536,16384,0.510907
65536,32768,0.749840
131072,4,0.611089
131072,8,0.520644
131072,16,0.527980
131072,32,0.769566
131072,64,1.879950
131072,128,1.855977
131072,256,1.981215
131072,512,1.843171
131072,1024,3.266035
131072,2048,4.599049
131072,4096,5.429998
131072,8192,3.954337
131072,16384,0.816871
131072,32768,0.423472
131072,65536,0.816893
262144,4,0.502049
262144,8,0.495712
262144,16,0.582479
262144,32,0.872397
262144,64,1.935039
262144,128,1.975011
262144,256,1.916302
262144,512,2.037859
262144,1024,3.488007
262144,2048,4.834595
262144,4096,8.816169
262144,8192,6.678356
262144,16384,4.026358
262144,32768,0.924475
262144,65536,0.504069
262144,131072,0.756994
524288,4,0.548694
524288,8,0.478181
524288,16,0.641671
524288,32,1.265748
524288,64,2.793535
524288,128,2.659180
524288,256,2.939415
524288,512,2.318547
524288,1024,3.836662
524288,2048,6.024361
524288,4096,9.571362
524288,8192,8.263736
524288,16384,8.220927
524288,32768,5.320685
524288,65536,1.664878
524288,131072,0.394154
524288,262144,0.772927
1048576,4,0.550929
1048576,8,0.515208
1048576,16,0.636976
1048576,32,1.268435
1048576,64,2.446556
1048576,128,2.760256
1048576,256,2.968470
1048576,512,2.501188
1048576,1024,3.812447
1048576,2048,5.986949
1048576,4096,9.704018
1048576,8192,9.854126
1048576,16384,10.103989
1048576,32768,9.896278
1048576,65536,5.211040
1048576,131072,1.740689
1048576,262144,0.343574
1048576,524288,0.749392
2097152,4,0.534821
2097152,8,0.493519
2097152,16,0.552341
2097152,32,1.172066
2097152,64,2.476174
2097152,128,2.833144
2097152,256,3.176880
2097152,512,2.529907
2097152,1024,4.043427
2097152,2048,6.223996
2097152,4096,9.930515
2097152,8192,10.062408
2097152,16384,10.413361
2097152,32768,10.615349
2097152,65536,10.870457
2097152,131072,5.163240
2097152,262144,1.610565
2097152,524288,0.099869
2097152,1048576,0.798012
4194304,4,0.535289
4194304,8,0.608227
4194304,16,1.046658
4194304,32,2.363276
4194304,64,4.647827
4194304,128,5.207634
4194304,256,5.876017
4194304,512,4.846859
