size,stride,ns
4096,4,0.206751
4096,8,0.205880
4096,16,0.206875
4096,32,0.201280
4096,64,0.192030
4096,128,0.351600
4096,256,0.304133
4096,512,0.378532
4096,1024,0.388916
4096,2048,0.831040
8192,4,0.205239
8192,8,0.205306
8192,16,0.206067
8192,32,0.206988
8192,64,0.200658
8192,128,0.191437
8192,256,0.245696
8192,512,0.328529
8192,1024,0.434169
8192,2048,0.397908
8192,4096,0.734307
16384,4,0.205038
16384,8,0.205097
16384,16,0.207288
16384,32,0.204602
16384,64,0.204483
16384,128,0.201819
16384,256,0.191606
16384,512,0.217129
16384,1024,0.381385
16384,2048,0.487436
16384,4096,0.310579
16384,8192,0.720444
32768,4,0.207325
32768,8,0.209184
32768,16,0.213079
32768,32,0.210950
32768,64,0.208179
32768,128,0.201631
32768,256,0.219789
32768,512,0.240938
32768,1024,0.297381
32768,2048,0.576375
32768,4096,0.968268
32768,8192,0.375739
32768,16384,0.727135
65536,4,0.206780
65536,8,0.231915
65536,16,0.317417
65536,32,0.849160
65536,64,2.076999
65536,128,2.084871
65536,256,2.062154
65536,512,2.014984
65536,1024,3.594552
65536,2048,2.808081
65536,4096,4.565480
65536,8192,0.930520
65536,16384,0.372677
65536,32768,0.726659
131072,4,0.206413
131072,8,0.232496
131072,16,0.321189
131072,32,0.852673
131072,64,2.084206
131072,128,2.098856
131072,256,2.089752
131072,512,2.082760
131072,1024,3.724135
131072,2048,5.481742
131072,4096,6.030531
131072,8192,5.398797
131072,16384,0.918870
131072,32768,0.401939
131072,65536,0.733875
262144,4,0.206918
262144,8,0.254623
262144,16,0.409443
262144,32,0.995584
262144,64,2.354078
262144,128,2.387351
262144,256,2.391363
262144,512,2.357298
262144,1024,4.192806
262144,2048,5.858287
262144,4096,9.412593
262144,8192,6.331282
262144,16384,4.576291
262144,32768,0.944524
262144,65536,0.346822
262144,131072,0.739312
524288,4,0.206765
524288,8,0.277018
524288,16,0.533783
524288,32,1.213721
524288,64,2.785787
524288,128,2.952694
524288,256,3.060337
524288,512,2.613924
524288,1024,4.368872
524288,2048,6.098807
524288,4096,10.224585
524288,8192,9.187289
524288,16384,7.758515
524288,32768,6.305319
524288,65536,1.177826
524288,131072,0.368310
524288,262144,0.745126
1048576,4,0.207750
1048576,8,0.280956
1048576,16,0.551036
1048576,32,1.240207
1048576,64,2.839010
1048576,128,3.090291
1048576,256,3.252728
1048576,512,2.721440
1048576,1024,4.409355
1048576,2048,6.173156
1048576,4096,10.325031
1048576,8192,10.509529
1048576,16384,9.664505
1048576,32768,9.109548
1048576,65536,6.328603
1048576,131072,1.103490
1048576,262144,0.343571
1048576,524288,0.792382
2097152,4,0.211353
2097152,8,0.280886
2097152,16,0.553022
2097152,32,1.237501
2097152,64,2.833686
2097152,128,3.107847
2097152,256,3.297911
2097152,512,2.724191
2097152,1024,4.425227
2097152,2048,6.177987
2097152,4096,10.314610
2097152,8192,10.891432
2097152,16384,10.604196
2097152,32768,9.975301
2097152,65536,9.833407
2097152,131072,6.397895
2097152,262144,1.082691
2097152,524288,0.300195
2097152,1048576,0.754653
4194304,4,0.208834
4194304,8,0.280608
4194304,16,0.554292
4194304,32,1.237492
4194304,64,2.832204
4194304,128,3.109771
4194304,256,3.308613
4194304,512,2.726381
4194304,1024,4.408507
4194304,2048,6.069592
4194304,4096,10.268466
4194304,8192,10.677470
4194304,16384,10.535710
4194304,32768,9.915304
4194304,65536,9.273883
4194304,131072,8.177638
4194304,262144,5.681117
4194304,524288,0.925932
4194304,1048576,2.463480
4194304,2097152,0.758329
8388608,4,0.216064
8388608,8,0.286083
8388608,16,0.557280
8388608,32,1.237522
8388608,64,2.831917
8388608,128,3.110782
8388608,256,3.310562
8388608,512,2.727195
8388608,1024,4.397727
8388608,2048,6.022799
8388608,4096,10.356458
8388608,8192,10.620429
8388608,16384,10.617119
8388608,32768,10.621397
8388608,65536,9.469976
8388608,131072,8.310987
8388608,262144,7.646363
8388608,524288,9.284933
8388608,1048576,4.198468
8388608,2097152,4.074492
8388608,4194304,0.749899
16777216,4,0.397358
16777216,8,0.705950
16777216,16,1.446352
16777216,32,3.027339
16777216,64,6.175448
16777216,128,7.374271
16777216,256,8.046153
16777216,512,7.154420
16777216,1024,7.423499
16777216,2048,8.889071
16777216,4096,11.826284
16777216,8192,10.609284
16777216,16384,10.644980
16777216,32768,10.982499
16777216,65536,9.802832
16777216,131072,8.640510
16777216,262144,7.712092
16777216,524288,11.798174
16777216,1048576,19.827135
16777216,2097152,4.991689
16777216,4194304,3.981255
16777216,8388608,0.799226
33554432,4,0.324129
33554432,8,0.814266
33554432,16,1.929506
33554432,32,4.242838
33554432,64,8.736685
33554432,128,12.838553
33554432,256,17.711396
33554432,512,11.911323
33554432,1024,12.264044
33554432,2048,13.448796
33554432,4096,16.396528
33554432,8192,17.192901
33554432,16384,19.581975
33554432,32768,17.559446
33554432,65536,16.379898
33554432,131072,17.113187
33554432,262144,11.574221
33554432,524288,12.580745
33554432,1048576,22.819560
33554432,2097152,23.527753
33554432,4194304,4.972668
33554432,8388608,3.970271
33554432,16777216,0.805426
67108864,4,0.337421
67108864,8,0.852602
67108864,16,2.024348
67108864,32,4.464166
67108864,64,9.206507
67108864,128,13.009008
67108864,256,17.514799
67108864,512,11.750378
67108864,1024,12.120177
67108864,2048,13.067563
67108864,4096,15.685614
67108864,8192,16.851218
67108864,16384,19.750167
67108864,32768,18.084241
67108864,65536,17.084473
67108864,131072,17.592281
67108864,262144,19.534877
67108864,524288,21.666638
67108864,1048576,23.932683
67108864,2097152,24.216252
67108864,4194304,23.826784
67108864,8388608,4.943011
67108864,16777216,3.963784
67108864,33554432,0.803625
